uid_t,god_name
V044-3,Kongfu daren
V044-4,Cuifu dama
V044-5,Sanyi jiaozhu
V045-1,Houtu furen
V045-1,Zunzhu mingwang
V045-2,Sanyi jiaozhu
V046-1,Houtu furen
V046-1,Zunzhu mingwang
V046-2,Zhanggong shengjun
V046-2,Zhong Kui
V047-1,Dutian yuanshuai
V047-1,Wen-Kang-Ma-Zhao yuanshuai
V047-1,Xuantian shangdi
V047-2,Houtu furen
V047-2,Sanyi jiaozhu
V047-2,Zunzhu mingwang
V047-3,Daxiong
V047-3,Erxiong
V048-1,Sanyi jiaozhu
V048-2,Houtu furen
V048-2,Sanyi jiaozhu
V048-2,Zunzhu mingwang
V049-1,Houtu furen
V049-1,Zunzhu mingwang
V049-2,Xuantian shangdi
V049-3,Cuifu dama
V050-1,Houtu furen
V050-1,Zunzhu mingwang
V050-2,Jialuo dasheng
V050-2,Tianshang shengmu
V051-1,Yanggong taishi
V051-2,Lufu furen
V052-1,Fude zhengshen
V053-1,Guanyin
V053-1,Guanyin dashi
V053-1,Huang duyuanshuai
V053-1,Jin daren
V053-1,Sanyi jiaozhu
V054-1,Sanyi jiaozhu
V054-2,Guanyin
V054-2,Guanyin dashi
V055-1,Rulai fozu
V056-1,Sanyi jiaozhu
V056-1,Xuantian shangdi
V056-2,Sanguan dadi
V056-3,Wenchang dijun
V056-4,Shijiamouni
V057-1,Yanggong taishi
V057-2,Lufu yima
V057-3,Daye
V057-3,Erye
V057-4,Sanyi jiaozhu
V058-1,Cuifu dama
V058-1,Dama
V059-1,Houtu furen
V059-1,Qitian dasheng
V059-1,Qianshi xianfei
V059-1,Sima shengwang
V059-1,Tiangong
V059-1,Tiangong yuanshuai
V059-1,Tianshang shengmu
V059-1,Zunzhu mingwang
V059-2,Yanggong taishi
V059-3,Zhunti wenfo
V059-4,Guanyin
V059-4,Guanyin dashi
V059-5,Sanyi jiaozhu
V060-2,Houtu furen
V060-2,Zunzhu mingwang
V060-3,Houtu furen
V060-3,Zunzhu mingwang
V060-4,Kongfu daren
V060-5,Sanyi jiaozhu
V060-6,Sanyi jiaozhu
V060-7,Wenchang dijun
V061-1,Houtu furen
V061-1,Zunzhu mingwang
V061-2,Chenfu daren
V061-3,Xuantian shangdi
V061-4,Cuifu dama
V061-5,Xuantian shangdi
V061-6,Guanyin
V061-6,Guanyin dashi
V062-1,Houtu furen
V062-1,Zunzhu mingwang
V062-2,Houtu furen
V062-2,Zunzhu mingwang
V062-3,Houtu furen
V062-3,Tiangong
V062-3,Tiangong yuanshuai
V062-3,Tianshang shengmu
V062-3,Zunzhu mingwang
V062-4,Lufu furen
V062-4,Lufu yima
V062-4,Taiyi xiangu
V062-4,Tianshang shengmu
V062-5,Sanyi jiaozhu
V063-1,Yangfu dagong
V063-2,Houtu furen
V063-2,Zunzhu mingwang
V063-3,Houtu furen
V063-3,Zunzhu mingwang
V063-4,Houtu furen
V063-4,Qitian dasheng
V063-4,Tiangong
V063-4,Tiangong yuanshuai
V063-4,Tianshang shengmu
V063-4,Zunzhu mingwang
V063-5,Houtu furen
V063-5,Zunzhu mingwang
V063-6,Dutian yuanshuai
V063-7,Guanyin
V063-7,Guanyin dashi
V063-8,Wenchang dijun
V063-9,Lufu furen
V063-10,Sanyi jiaozhu
V063-11,Zhuzi
V064-1,Yuhuang zhizun
V064-2,Sanyi jiaozhu
V064-3,Tiangong
V064-3,Tiangong yuanshuai
V064-3,Wen-Kang-Ma-Zhao yuanshuai
V064-3,Xuantan yuanshuai
V065-1,Houtu furen
V065-1,Zunzhu mingwang
V065-2,Xuantian shangdi
V065-3,Lufu furen
V065-3,Lufu yima
V065-4,Daxiong
V065-4,Erxiong
V065-5,Zheng Yue
V066-1,Jialuo dasheng
V066-1,Wen-Kang-Ma-Zhao yuanshuai
V066-1,Wutan liesheng
V066-1,Xuantan yuanshuai
V066-1,Zhanggong shengjun
V066-1,Zhong Kui
V066-1,Ziwei xingjun
V066-2,Houtu furen
V066-2,Zunzhu mingwang
V066-3,Daxiong
V066-3,Erxiong
V066-4,Sanyi jiaozhu
V066-5,Sanyi jiaozhu
V066-6,Tiangong
V066-6,Tiangong yuanshuai
V067-2,Guangze zunwang
V067-3,Wenchang dijun
V067-4,Guanyin
V067-4,Guanyin dashi
V067-5,Fude zhengshen
V068-2,Houtu furen
V068-2,Zunzhu mingwang
V068-3,Zhanggong shengjun
V068-3,Zhong Kui
V068-4,Chensheng hufa
V068-4,Guansheng dijun
V068-4,Guanyin
V068-4,Guanyin dashi
V068-4,Puhua tianzun
V068-4,Sanyi jiaozhu
V068-4,Tiangong
V068-4,Tiangong yuanshuai
V068-4,Wuxian dadi
V068-4,Zhang Sanfeng
V068-5,Sanyi jiaozhu
V068-6,Guanyin
V068-6,Guanyin dashi
V069-2,Jialuo dasheng
V069-2,Wenwu liesheng
V069-2,Wen-Kang-Ma-Zhao yuanshuai
V069-2,Xuantan yuanshuai
V069-2,Zhanggong yuanshuai
V069-2,Ziwei xingjun
V069-3,Sanyi jiaozhu
V070-2,Xuantian shangdi
V071-2,Tiangong
V071-2,Tiangong yuanshuai
V071-3,Fude zhengshen
V072-1,Houtu furen
V072-1,Hushan dawang
V072-1,Qianliyan
V072-1,Sima shengwang
V072-1,Tianshang shengmu
V072-1,Wanlier
V072-1,Zunzhu mingwang
V072-2,Houtu furen
V072-2,Zunzhu mingwang
V072-3,Houtu furen
V072-3,Zunzhu mingwang
V072-4,Daye
V072-4,Erye
V072-5,Sanyi jiaozhu
V073-1,Houtu furen
V073-1,Zunzhu mingwang
V074-1,Xuantian shangdi
V074-2,Houtu furen
V074-2,Zunzhu mingwang
V074-3,Shijiamouni
V075-1,Houtu furen
V075-1,Tiangong
V075-1,Tiangong yuanshuai
V075-1,Zunzhu mingwang
V075-2,Houtu furen
V075-2,Zunzhu mingwang
V075-3,Sanyi jiaozhu
V076-1,Houtu furen
V076-1,Wencao
V076-1,Wencao wupan
V076-1,Zunzhu mingwang
V077-1,Houtu furen
V077-1,Zunzhu mingwang
V077-2,Houtu furen
V077-2,Zunzhu mingwang
V077-3,Houtu furen
V077-3,Zunzhu mingwang
V077-4,Tiangong
V077-4,Tiangong yuanshuai
V077-5,Tianhou shengmu
V077-6,Guanyin
V077-6,Guanyin dashi
V077-6,Lufu furen
V077-6,Lufu yima
V077-6,Tiangong
V077-6,Tiangong yuanshuai
V077-7,Dage
V078-1,Houtu furen
V078-1,Xuantian shangdi
V078-1,Zunzhu mingwang
V079-2,Houtu furen
V079-2,Zunzhu mingwang
V079-3,Houtu furen
V079-3,Zunzhu mingwang
V079-4,Shijiamouni
V079-5,Sanyi jiaozhu
V079-6,Sanguan dadi
V079-6,Zhanggong shengjun
V079-6,Zhong Kui
V079-7,Guanyin
V079-7,Guanyin dashi
V079-7,Jialan
V079-7,Weituo
V080-1,Houtu furen
V080-1,Zunzhu mingwang
V080-2,Sanyi jiaozhu
V080-3,Fude zhengshen
V081-1,Houtu furen
V081-1,Qitian dasheng
V081-1,Zunzhu mingwang
V081-2,Daye
V081-2,Erye
V081-3,Wuhuang dadi
V082-1,Houtu furen
V082-1,Qitian dasheng
V082-1,Zunzhu mingwang
V082-2,Shengmu
V082-2,Tianshang shengmu
V082-3,Zhanggong yuanshuai
V082-4,Guanyin
V082-4,Guanyin dashi
V082-5,Shijiamouni
V082-6,Sanyi jiaozhu
V083-1,Houtu furen
V083-1,Zunzhu mingwang
V083-2,Xuantian shangdi
V084-1,Houtu furen
V084-1,Qitian dasheng
V084-1,Zunzhu mingwang
V084-2,Guanyin
V084-2,Guanyin dashi
V084-3,Daren
V084-3,Sanshiqiwei Daren
V085-1,Houtu furen
V085-1,Qitian dasheng
V085-1,Zunzhu mingwang
V085-2,Sanyi jiaozhu
V085-3,Guanyin
V085-3,Guanyin dashi
V086-1,Yanggong taishi
V086-2,Houtu furen
V086-2,Zunzhu mingwang
V086-3,Lufu furen
V086-3,Lufu yima
V086-4,Sanyi jiaozhu
V086-5,Guanyin
V086-5,Guanyin dashi
V087-1,Houtu furen
V087-1,Tiangong
V087-1,Tiangong yuanshuai
V087-1,Zunzhu mingwang
V087-2,Xuantian shangdi
V087-3,Zhanggong shengjun
V087-3,Zhong Kui
V087-4,Zhanggong shengjun
V087-4,Zhong Kui
V087-5,Sanyi jiaozhu
V087-7,Wuhuang dadi
V087-8,Houtu furen
V087-8,Tianshang shengmu
V087-9,Houtu furen
V087-9,Zunzhu mingwang
V087-10,Huaxiangu
V087-11,Guanyin
V087-11,Guanyin dashi
V087-12,Zhanggong shengjun
V087-12,Zhong Kui
V087-13,Daxiong
V087-13,Erxiong
V087-13,Jixing
V087-14,Lufu yima
V087-15,Zhanggong shengjun
V087-15,Zhong Kui
V087-16,Sanyi jiaozhu
V088-1,Houtu furen
V088-1,Zunzhu mingwang
V088-2,Liugong yuanshuai
V088-2,Xuantan yuanshuai
V088-2,Zhanggong shengjun
V088-2,Zhong Kui
V088-3,Fude zhengshen
V088-4,Guanyin
V088-4,Guanyin dashi
V089-1,Houtu furen
V089-1,Zunzhu mingwang
V089-2,Yanggong taishi
V089-3,Lufu furen
V089-3,Lufu yima
V089-4,Tiangong
V089-4,Tiangong yuanshuai
V090-1,Houtu furen
V090-1,Zunzhu mingwang
V090-2,Sanyi jiaozhu
V091-1,Liugong yuanshuai
V091-1,Yanggong taishi
V091-1,Zhanggong shengjun
V091-1,Zhong Kui
V091-2,Chenshi zhenren
V091-2,Dutian yuanshuai
V091-2,Houtu furen
V091-2,Sima shengwang
V091-2,Wuhu jialuo
V091-2,Yanggong taishi
V091-2,Zhanggong shengjun
V091-2,Zhong Kui
V091-2,Zunzhu mingwang
V091-3,Guanyin
V091-3,Guanyin dashi
V092-1,Houtu furen
V092-1,Zunzhu mingwang
V093-1,Houtu furen
V093-1,Zunzhu mingwang
V093-2,Tiangong
V093-2,Tiangong yuanshuai
V093-3,Sanyi jiaozhu
V093-4,Guanyin
V093-4,Guanyin dashi
V094-1,Houtu furen
V094-1,Zunzhu mingwang
V094-2,Wenchang dijun
V094-3,Baiya jiangjun
V094-3,Tiangong
V094-3,Tiangong yuanshuai
V094-4,Sanyi jiaozhu
V094-5,Guanyin
V094-5,Guanyin dashi
V095-1,Houtu furen
V095-1,Qitian dasheng
V095-1,Zunzhu mingwang
V095-2,Chenshi zhenren
V095-2,Dutian yuanshuai
V095-2,Yanggong taishi
V095-2,Zhanggong shengjun
V095-2,Zhong Kui
V095-3,Dudu ye
V095-4,Guanyin
V095-4,Guanyin dashi
V095-4,Sanyi jiaozhu
V096-1,Houtu furen
V096-1,Lufu furen
V096-1,Lufu yima
V096-1,Taiyi xiangu
V096-1,Zhanggong shengjun
V096-1,Zhong Kui
V096-1,Zunzhu mingwang
V096-2,Qitian dasheng
V097-1,Dutian yuanshuai
V097-1,Houtu furen
V097-1,Sima shengwang
V097-1,Zunzhu mingwang
V097-2,Guan Ping
V097-2,Xietian dadi
V097-2,Zhou Cang
V098-1,Houtu furen
V098-1,Kanggong yuanshuai
V098-1,Sima shengwang
V098-1,Tiangong
V098-1,Tiangong yuanshuai
V098-1,Wulu jiangjun
V098-1,Zunzhu mingwang
V099-1,Fazhu xianfei
V099-1,Shuntian shengmu
V099-1,Wanggong shenghou
V099-1,Yanggong taishi
V099-1,Zhaoling shengjun
V099-1,Zhong Kui
V099-2,Houtu furen
V099-2,Ligong zhangzhe
V099-2,Qianshi shengfei
V099-2,Sima shengwang
V099-2,Tianshang shengmu
V099-2,Zunzhu mingwang
V099-3,Tiangong
V099-3,Tiangong yuanshuai
